,Date,,Batch No,Diameter,Material,Coil,UTS,Elongation,Conductivity,Grade,Material,Total order quantity,
,01.09.2024,,658099,10,W000000,7,9.4,23.6,62,WE10,WE100095,"2,011.00",
,01.09.2024,,658099,10,W000000,8,9.5,16.3,62,WE10,WE100095,"2,113.00",
,01.09.2024,,658099,10,W000000,9,9.2,18.6,62,WE10,WE100095,"2,019.00",
,01.09.2024,,658103,10,W000000,1,9.9,18.5,62,WE10,WE100095,"2,110.00",
,01.09.2024,,658103,10,W000000,2,9.6,17.8,62,WE10,WE100095,"2,018.00",
,01.09.2024,,758114,10,W000000,1,9.9,16.8,61.9,WE10,WE100095,"2,069.00",
,01.09.2024,,758114,10,W000000,10,9.8,14.5,60.7,WC10,WC100095,"2,064.00",
,01.09.2024,,758114,10,W000000,11,9.9,16.3,62,WE10,WE100095,"2,067.00",
,01.09.2024,,758114,10,W000000,12,9.9,19,62,WE10,WE100095,"2,072.00",
,01.09.2024,,758114,10,W000000,13,9.9,15.2,61.8,WE10,WE100095,"2,069.00",
,01.09.2024,,758114,10,W000000,14,10.2,15.8,61.8,WE10,WE100095,"2,069.00",
,01.09.2024,,758114,10,W000000,15,9.9,16.5,61.8,WE10,WE100095,"2,067.00",
,01.09.2024,,758114,10,W000000,16,9.8,17.3,61.8,WE10,WE100095,"2,065.00",
,01.09.2024,,758114,10,W000000,2,9.6,21.2,61.9,WE10,WE100095,"2,069.00",
,01.09.2024,,758114,10,W000000,3,10.3,15.1,62,WE10,WE100095,"2,070.00",
,01.09.2024,,758114,10,W000000,4,10.2,13.9,62,WE10,WE100095,"2,072.00",
,01.09.2024,,758114,10,W000000,5,10.2,16.3,62,WE10,WE100095,"2,073.00",
,01.09.2024,,758114,10,W000000,6,10.2,17.7,62,WE10,WE100095,"2,068.00",
,01.09.2024,,758114,10,W000000,7,9.9,14.6,62,WE10,WE100095,"2,072.00",
,01.09.2024,,758114,10,W000000,8,9.9,15.5,62,WE10,WE100095,"2,065.00",
,01.09.2024,,758114,10,W000000,9,10.8,14.3,60.7,WC10,WC100095,"2,071.00",
,01.09.2024,,758118,10,W000000,1,10,14,61.8,WE10,WE100095,"2,076.00",
,01.09.2024,,758118,10,W000000,10,10.3,13.2,61.8,WE10,WE100095,"2,078.00",
,01.09.2024,,758118,10,W000000,11,10.6,16.4,61.8,WE10,WE100095,"2,083.00",
,01.09.2024,,758118,10,W000000,12,10.3,12,61.8,WE10,WE100095,"2,084.00",
,01.09.2024,,758118,10,W000000,2,10.2,15.2,61.8,WE10,WE100095,"2,069.00",
,01.09.2024,,758118,10,W000000,3,10.3,12,61.8,WE10,WE100095,"2,084.00",
,01.09.2024,,758118,10,W000000,4,10.3,14,61.8,WE10,WE100095,"2,084.00",
,01.09.2024,,758118,10,W000000,5,10.3,12,61.8,WE10,WE100095,"2,081.00",
,01.09.2024,,758118,10,W000000,6,10.3,12.8,61.8,WE10,WE100095,"1,944.00",
,01.09.2024,,758118,10,W000000,7,11.1,12,61.8,WF10,WF100095,"1,391.00",
,01.09.2024,,758118,10,W000000,8,10.9,12.4,61.8,WE10,WE100095,"2,034.00",
,01.09.2024,,758118,10,W000000,9,10.7,14,61.8,WE10,WE100095,"2,082.00",
,01.09.2024,,858112,10,W000000,1,10.2,14,61.9,WE10,WE100095,"2,077.00",
,01.09.2024,,858112,10,W000000,10,10,14.6,61.8,WE10,WE100095,"2,072.00",
,01.09.2024,,858112,10,W000000,11,9.8,14.1,61.9,WE10,WE100095,"2,069.00",
,01.09.2024,,858112,10,W000000,12,9.8,14.5,61.9,WE10,WE100095,"2,075.00",
,01.09.2024,,858112,10,W000000,13,9.9,15.4,61.9,WE10,WE100095,"2,073.00",
,01.09.2024,,858112,10,W000000,14,9.7,15.1,61.9,WE10,WE100095,"2,073.00",
,01.09.2024,,858112,10,W000000,15,10,13.7,61.9,WE10,WE100095,"2,075.00",
,01.09.2024,,858112,10,W000000,16,10.1,16,61.9,WE10,WE100095,"2,071.00",
,01.09.2024,,858112,10,W000000,17,9.7,17.9,61.9,WE10,WE100095,"2,073.00",
,01.09.2024,,858112,10,W000000,2,10.3,12.6,61.9,WE10,WE100095,"2,075.00",
,01.09.2024,,858112,10,W000000,3,10.1,15.7,61.9,WE10,WE100095,"2,078.00",
,01.09.2024,,858112,10,W000000,4,10.2,14.9,61.9,WE10,WE100095,"2,071.00",
,01.09.2024,,858112,10,W000000,5,9.5,14.1,61.9,WE10,WE100095,"2,069.00",
,01.09.2024,,858112,10,W000000,6,9.8,15.1,61.9,WE10,WE100095,"2,070.00",
,01.09.2024,,858112,10,W000000,7,9.7,15.4,61.8,WE10,WE100095,"2,072.00",
,01.09.2024,,858112,10,W000000,8,9.5,16.4,61.8,WE10,WE100095,"2,072.00",
,01.09.2024,,858112,10,W000000,9,9.7,13.9,61.8,WE10,WE100095,"2,070.00",
,01.09.2024,,858116,10,W000000,1,9.8,18.8,61.9,WE10,WE100095,"2,063.00",
,01.09.2024,,858116,10,W000000,10,10.2,18.8,62,WE10,WE100095,"2,063.00",
,01.09.2024,,858116,10,W000000,11,10.1,14.3,62,WE10,WE100095,"2,065.00",
,01.09.2024,,858116,10,W000000,2,9.9,18.9,61.9,WE10,WE100095,"2,066.00",
,01.09.2024,,858116,10,W000000,3,9.9,17.9,61.9,WE10,WE100095,"2,068.00",
,01.09.2024,,858116,10,W000000,4,10.3,19,61.9,WE10,WE100095,"2,075.00",
,01.09.2024,,858116,10,W000000,5,10.2,16.8,61.9,WE10,WE100095,"2,067.00",
,01.09.2024,,858116,10,W000000,6,10.1,18.8,61.9,WE10,WE100095,"2,067.00",
,01.09.2024,,858116,10,W000000,7,10,16.8,61.9,WE10,WE100095,"2,068.00",
,01.09.2024,,858116,10,W000000,8,10.3,15,61.9,WE10,WE100095,"2,068.00",
,01.09.2024,,858116,10,W000000,9,10.3,17.1,62,WE10,WE100095,"2,069.00",
,01.09.2024,,858120,10,W000000,1,10.9,12.4,61.7,WF10,WF100095,"1,206.00",
,01.09.2024,,858120,10,W000000,10,10.5,15.1,61.8,WE10,WE100095,"2,083.00",
,01.09.2024,,858120,10,W000000,11,10.4,13.8,61.8,WE10,WE100095,"2,083.00",
,01.09.2024,,858120,10,W000000,12,10.5,14.9,61.8,WE10,WE100095,"2,080.00",
,01.09.2024,,858120,10,W000000,2,11,12,61.7,WE10,WE100095,"2,106.00",
,01.09.2024,,858120,10,W000000,3,10.7,14,61.7,WE10,WE100095,"2,087.00",
,01.09.2024,,858120,10,W000000,4,11,14.8,61.7,WE10,WE100095,"2,086.00",
,01.09.2024,,858120,10,W000000,5,10.9,15.2,60.7,WC10,WC100095,"2,087.00",
,01.09.2024,,858120,10,W000000,6,10.8,13.8,60.7,WC10,WC100095,"1,566.00",
,01.09.2024,,858120,10,W000000,7,10.8,14.2,61.7,WE10,WE100095,"2,084.00",
,01.09.2024,,858120,10,W000000,8,10.7,14.7,61.7,WE10,WE100095,"2,088.00",
,01.09.2024,,858120,10,W000000,9,10.8,14.3,61.8,WE10,WE100095,"2,085.00",
,02.09.2024,,558105,10,W000000,1,9.9,20.1,61.7,WE10,WE100095,"2,102.00",
,02.09.2024,,558105,10,W000000,10,9.8,17,61.5,WE10,WE100095,"2,017.00",
,02.09.2024,,558105,10,W000000,11,9.6,16.9,61.5,WE10,WE100095,"1,978.00",
,02.09.2024,,558105,10,W000000,12,9.8,16.7,61.5,WE10,WE100095,"2,017.00",
,02.09.2024,,558105,10,W000000,13,10,17.6,61.6,WE10,WE100095,"1,977.00",
,02.09.2024,,558105,10,W000000,14,10.1,18.5,61.6,WE10,WE100095,"2,020.00",
,02.09.2024,,558105,10,W000000,15,10.2,15,61.6,WE10,WE100095,"1,980.00",
,02.09.2024,,558105,10,W000000,16,10.2,20.3,61.6,WE10,WE100095,"2,018.00",
,02.09.2024,,558105,10,W000000,17,9.3,19.1,61.5,WE10,WE100095,"1,979.00",
,02.09.2024,,558105,10,W000000,2,9.7,17.4,61.7,WE10,WE100095,"2,007.00",
,02.09.2024,,558105,10,W000000,3,9.6,18.5,61.8,WE10,WE100095,"2,102.00",
,02.09.2024,,558105,10,W000000,4,9.9,18.3,61.8,WE10,WE100095,"2,011.00",
,02.09.2024,,558105,10,W000000,5,9.8,15.5,61.7,WE10,WE100095,"2,108.00",
,02.09.2024,,558105,10,W000000,6,10.2,16.5,61.7,WE10,WE100095,"2,013.00",
,02.09.2024,,558105,10,W000000,7,10.3,17.8,61.8,WE10,WE100095,"2,112.00",
,02.09.2024,,558105,10,W000000,8,10.1,16.3,61.8,WE10,WE100095,"2,015.00",
,02.09.2024,,558105,10,W000000,9,10,15.8,61.5,WE10,WE100095,"2,111.00",
,02.09.2024,,558109,10,W000000,1,9.5,18,61.8,WE10,WE100095,"2,117.00",
,02.09.2024,,558109,10,W000000,10,10.2,15.2,61.9,WE10,WE100095,"2,031.00",
,02.09.2024,,558109,10,W000000,11,10.1,12.4,61.9,WE10,WE100095,"2,125.00",
,02.09.2024,,558109,10,W000000,12,10.1,12,61.9,WE10,WE100095,"2,026.00",
,02.09.2024,,558109,10,W000000,13,9.5,15.6,61.9,WE10,WE100095,"1,986.00",
,02.09.2024,,558109,10,W000000,14,10,14,61.9,WE10,WE100095,"2,021.00",
,02.09.2024,,558109,10,W000000,15,9.7,17.2,61.9,WE10,WE100095,"1,978.00",
,02.09.2024,,558109,10,W000000,16,9.4,14.4,61.9,WE10,WE100095,"2,020.00",
,02.09.2024,,558109,10,W000000,17,9.2,14,61.9,WE10,WE100095,"1,977.00",
,02.09.2024,,558109,10,W000000,18,9.1,14.4,61.9,WE10,WE100095,"2,022.00",
,02.09.2024,,558109,10,W000000,2,9.4,14,61.8,WE10,WE100095,"1,903.00",
,02.09.2024,,558109,10,W000000,3,9.4,14.8,61.8,WE10,WE100095,"1,979.00",
,02.09.2024,,558109,10,W000000,4,9.6,15.6,61.8,WE10,WE100095,"2,023.00",
,02.09.2024,,558109,10,W000000,5,9.5,16.8,61.9,WE10,WE100095,"2,117.00",
,02.09.2024,,558109,10,W000000,6,9.4,16,61.9,WE10,WE100095,"2,023.00",
,02.09.2024,,558109,10,W000000,7,9.5,16,61.7,WE10,WE100095,"2,118.00",
,02.09.2024,,558109,10,W000000,8,9.5,15.6,61.7,WE10,WE100095,"2,025.00",
,02.09.2024,,558109,10,W000000,9,9.8,15.6,61.9,WE10,WE100095,"1,974.00",
,02.09.2024,,658103,10,W000000,10,10.1,18.3,62,WE10,WE100095,"2,016.00",
,02.09.2024,,658103,10,W000000,11,10.3,18.2,62,WE10,WE100095,"2,111.00",
,02.09.2024,,658103,10,W000000,12,9.9,15.8,62,WE10,WE100095,"2,014.00",
,02.09.2024,,658103,10,W000000,13,9.9,15.1,62,WE10,WE100095,"2,109.00",
,02.09.2024,,658103,10,W000000,14,10.2,16.8,62,WE10,WE100095,"2,017.00",
,02.09.2024,,658103,10,W000000,15,9.8,17.9,62,WE10,WE100095,"2,015.00",
,02.09.2024,,658103,10,W000000,16,9.8,15.8,62,WE10,WE100095,"2,110.00",
,02.09.2024,,658103,10,W000000,17,10,14.1,62,WE10,WE100095,"2,104.00",
,02.09.2024,,658103,10,W000000,18,9.6,16,62,WE10,WE100095,"2,008.00",
,02.09.2024,,658103,10,W000000,3,9.9,16.3,62,WE10,WE100095,"2,115.00",
,02.09.2024,,658103,10,W000000,4,9.9,17.6,62,WE10,WE100095,"2,023.00",
,02.09.2024,,658103,10,W000000,5,9.8,16.3,61.9,WE10,WE100095,"1,979.00",
,02.09.2024,,658103,10,W000000,6,9.8,19.1,61.9,WE10,WE100095,"2,017.00",
,02.09.2024,,658103,10,W000000,7,9.7,16.7,62,WE10,WE100095,"1,977.00",
,02.09.2024,,658103,10,W000000,8,9.9,20.8,62,WE10,WE100095,"2,019.00",
,02.09.2024,,658103,10,W000000,9,9.8,17.6,62,WE10,WE100095,"2,114.00",
,02.09.2024,,658107,10,W000000,1,9.8,18.8,61.7,WE10,WE100095,"2,018.00",
,02.09.2024,,658107,10,W000000,10,9.8,18.2,61.7,WE10,WE100095,"1,976.00",
,02.09.2024,,658107,10,W000000,11,9.8,16.6,61.7,WE10,WE100095,"2,015.00",
,02.09.2024,,658107,10,W000000,12,9.7,16.8,61.7,WE10,WE100095,"2,032.00",
,02.09.2024,,658107,10,W000000,13,10,14.4,61.6,WE10,WE100095,"2,021.00",
,02.09.2024,,658107,10,W000000,14,9.8,14.4,61.6,WE10,WE100095,"2,119.00",
,02.09.2024,,658107,10,W000000,2,10,20,61.7,WE10,WE100095,"1,977.00",
,02.09.2024,,658107,10,W000000,3,10,18.3,61.6,WE10,WE100095,"2,018.00",
,02.09.2024,,658107,10,W000000,4,9.8,16.4,61.6,WE10,WE100095,"2,111.00",
,02.09.2024,,658107,10,W000000,5,9.8,18.9,62,WE10,WE100095,"2,016.00",
,02.09.2024,,658107,10,W000000,6,9.7,19.5,62,WE10,WE100095,"1,975.00",
,02.09.2024,,658107,10,W000000,7,9.8,19.1,61.7,WE10,WE100095,"2,015.00",
,02.09.2024,,658107,10,W000000,8,9.8,20.2,61.7,WE10,WE100095,"1,975.00",
,02.09.2024,,658107,10,W000000,9,9.4,19.2,61.7,WE10,WE100095,"2,016.00",
,02.09.2024,,658111,10,W000000,1,9.6,14.4,61.9,WE10,WE100095,"1,977.00",
,02.09.2024,,658111,10,W000000,2,9.7,14,61.9,WE10,WE100095,"2,014.00",
,02.09.2024,,658111,10,W000000,3,9.3,19.4,61.9,WE10,WE100095,"2,017.00",
,02.09.2024,,658111,10,W000000,4,9.9,17.9,61.9,WE10,WE100095,"1,971.00",
,02.09.2024,,658111,10,W000000,5,9.7,21.5,62,WE10,WE100095,"2,010.00",
,02.09.2024,,658111,10,W000000,6,9.5,19.2,62,WE10,WE100095,"1,965.00",
,02.09.2024,,658111,10,W000000,7,10.3,17.1,61.7,WE10,WE100095,"2,008.00",
,02.09.2024,,658111,10,W000000,8,9.5,20.5,61.7,WE10,WE100095,"1,968.00",
,02.09.2024,,758122,10,W000000,1,10.2,11.5,62,WE10,WE100095,"2,084.00",
,02.09.2024,,758122,10,W000000,10,9.9,14.5,62,WE10,WE100095,"2,075.00",
,02.09.2024,,758122,10,W000000,11,9.9,16.1,62,WE10,WE100095,"2,070.00",
,02.09.2024,,758122,10,W000000,12,9.9,17.8,62,WE10,WE100095,"2,071.00",
,02.09.2024,,758122,10,W000000,13,10.3,13.5,61.9,WE10,WE100095,"2,070.00",
,02.09.2024,,758122,10,W000000,14,10.5,13.9,61.9,WE10,WE100095,"2,074.00",
,02.09.2024,,758122,10,W000000,15,9.9,15.7,62,WE10,WE100095,"2,076.00",
,02.09.2024,,758122,10,W000000,16,9.8,15.9,62,WE10,WE100095,"2,080.00",
,02.09.2024,,758122,10,W000000,17,10,15,61.9,WE10,WE100095,"2,073.00",
,02.09.2024,,758122,10,W000000,2,10.2,13.9,62,WE10,WE100095,"2,019.00",
,02.09.2024,,758122,10,W000000,3,10.4,14,61.7,WE10,WE100095,"2,080.00",
,02.09.2024,,758122,10,W000000,4,10.4,13.9,61.7,WE10,WE100095,"2,084.00",
,02.09.2024,,758122,10,W000000,5,10.5,14.8,62,WE10,WE100095,"2,081.00",
,02.09.2024,,758122,10,W000000,6,10.5,14.6,62,WE10,WE100095,"2,078.00",
,02.09.2024,,758122,10,W000000,7,10.2,15.4,62,WE10,WE100095,"2,078.00",
,02.09.2024,,758122,10,W000000,8,10,16.7,62,WE10,WE100095,"2,077.00",
,02.09.2024,,758122,10,W000000,9,10,15.3,62,WE10,WE100095,"2,074.00",
,02.09.2024,,758126,10,W000000,1,9.8,13.1,61.8,WE10,WE100095,"2,075.00",
,02.09.2024,,758126,10,W000000,10,9.9,15,62,WE10,WE100095,"2,070.00",
,02.09.2024,,758126,10,W000000,11,9.7,15.8,62,WE10,WE100095,"2,080.00",
,02.09.2024,,758126,10,W000000,12,9.7,15,62,WE10,WE100095,"2,075.00",
,02.09.2024,,758126,10,W000000,13,9.7,17.1,62,WE10,WE100095,"2,075.00",
,02.09.2024,,758126,10,W000000,14,9.9,15.8,62,WE10,WE100095,"2,072.00",
,02.09.2024,,758126,10,W000000,2,9.7,14.6,61.8,WE10,WE100095,"2,074.00",
,02.09.2024,,758126,10,W000000,3,9.8,17,62,WE10,WE100095,"2,076.00",
,02.09.2024,,758126,10,W000000,4,9.7,15.9,62,WE10,WE100095,"2,071.00",
,02.09.2024,,758126,10,W000000,5,9.7,17.1,62,WE10,WE100095,"2,073.00",
,02.09.2024,,758126,10,W000000,6,9.7,18.7,62,WE10,WE100095,"2,072.00",
,02.09.2024,,758126,10,W000000,7,9.6,16.9,62,WE10,WE100095,"2,070.00",
,02.09.2024,,758126,10,W000000,8,9.8,15.1,62,WE10,WE100095,"2,072.00",
,02.09.2024,,758126,10,W000000,9,10.1,16.6,62,WE10,WE100095,"2,073.00",
,02.09.2024,,758130,10,W000000,1,9.7,11.2,61.8,WE10,WE100095,"2,082.00",
,02.09.2024,,758130,10,W000000,2,9.6,15.6,61.8,WE10,WE100095,"2,074.00",
,02.09.2024,,758130,10,W000000,3,9.6,13.6,61.7,WE10,WE100095,"2,084.00",
,02.09.2024,,758130,10,W000000,4,10.1,12,61.7,WE10,WE100095,"2,082.00",
,02.09.2024,,758130,10,W000000,5,9.8,12.8,61.8,WE10,WE100095,"2,083.00",
,02.09.2024,,858124,10,W000000,1,10.1,14.3,62,WE10,WE100095,"2,075.00",
,02.09.2024,,858124,10,W000000,10,10.4,13.1,61.9,WE10,WE100095,"2,086.00",
,02.09.2024,,858124,10,W000000,11,10.4,15.5,61.9,WE10,WE100095,"2,081.00",
,02.09.2024,,858124,10,W000000,12,10.3,15,61.9,WE10,WE100095,"2,080.00",
,02.09.2024,,858124,10,W000000,13,10.1,15.9,61.9,WE10,WE100095,"2,075.00",
,02.09.2024,,858124,10,W000000,14,9.9,14.2,61.9,WE10,WE100095,"2,075.00",
,02.09.2024,,858124,10,W000000,15,10.1,14.7,61.8,WE10,WE100095,"2,074.00",
,02.09.2024,,858124,10,W000000,2,10.1,12.2,62,WE10,WE100095,"2,076.00",
,02.09.2024,,858124,10,W000000,3,10.2,15.5,62,WE10,WE100095,"2,074.00",
,02.09.2024,,858124,10,W000000,4,10.5,14.3,62,WE10,WE100095,"2,075.00",
,02.09.2024,,858124,10,W000000,5,10.4,14.6,61.9,WE10,WE100095,"2,080.00",
,02.09.2024,,858124,10,W000000,6,10.3,14.8,61.9,WE10,WE100095,"2,081.00",
,02.09.2024,,858124,10,W000000,7,10,13.9,62,WE10,WE100095,"2,079.00",
,02.09.2024,,858124,10,W000000,8,10.3,16.1,62,WE10,WE100095,"2,082.00",
,02.09.2024,,858124,10,W000000,9,10.1,11.4,61.9,WE10,WE100095,"2,082.00",
,02.09.2024,,858128,10,W000000,1,9.3,12,62,WE10,WE100095,"2,072.00",
,02.09.2024,,858128,10,W000000,10,9.7,14.4,62,WE10,WE100095,"2,089.00",
,02.09.2024,,858128,10,W000000,11,9.7,13.2,62,WE10,WE100095,"2,087.00",
,02.09.2024,,858128,10,W000000,12,9.7,13.2,62,WE10,WE100095,"2,087.00",
,02.09.2024,,858128,10,W000000,13,9.7,12.8,62,WE10,WE100095,"2,086.00",
,02.09.2024,,858128,10,W000000,2,9.3,16.8,62,WE10,WE100095,"2,080.00",
,02.09.2024,,858128,10,W000000,3,9.7,14.8,62,WE10,WE100095,"2,078.00",
,02.09.2024,,858128,10,W000000,4,9.6,12.4,62,WE10,WE100095,"2,076.00",
,02.09.2024,,858128,10,W000000,5,9.3,13.2,62,WE10,WE100095,"2,082.00",
,02.09.2024,,858128,10,W000000,6,9.4,13.6,62,WE10,WE100095,"2,078.00",
,02.09.2024,,858128,10,W000000,7,9.5,14,62,WE10,WE100095,"2,081.00",
,02.09.2024,,858128,10,W000000,8,9.5,12.8,62,WE10,WE100095,"2,080.00",
,02.09.2024,,858128,10,W000000,9,9.9,14,62,WE10,WE100095,"2,079.00",
,03.09.2024,,558113,10,W000000,1,10.1,17.6,60.7,WC10,WC100095,"2,017.00",
,03.09.2024,,558113,10,W000000,10,9.9,18.1,60.7,WC10,WC100095,"2,114.00",
,03.09.2024,,558113,10,W000000,11,10.2,16,60.7,WC10,WC100095,"2,004.00",
,03.09.2024,,558113,10,W000000,12,10.1,18.6,60.7,WC10,WC100095,"2,098.00",
,03.09.2024,,558113,10,W000000,13,10.3,15.1,60.7,WC10,WC100095,"2,001.00",
,03.09.2024,,558113,10,W000000,2,10,17.7,60.7,WC10,WC100095,"2,107.00",
,03.09.2024,,558113,10,W000000,3,10,19.8,60.7,WC10,WC100095,"2,141.00",
,03.09.2024,,558113,10,W000000,4,9.5,20.3,60.7,WC10,WC100095,"2,107.00",
,03.09.2024,,558113,10,W000000,5,9.7,22.5,60.6,WC10,WC100095,"2,009.00",
,03.09.2024,,558113,10,W000000,6,10.2,18.1,60.6,WC10,WC100095,"2,022.00",
,03.09.2024,,558113,10,W000000,7,10,16.3,60.6,WC10,WC100095,"1,632.00",
,03.09.2024,,558113,10,W000000,8,10,19.2,60.6,WC10,WC100095,"1,975.00",
,03.09.2024,,558113,10,W000000,9,10,16,60.7,WC10,WC100095,"2,146.00",
,03.09.2024,,558117,10,W000000,1,9.3,19.6,61.1,WE20,WE200095,"1,974.00",
,03.09.2024,,558117,10,W000000,10,9.9,16,61.3,WE20,WE200095,"2,010.00",
,03.09.2024,,558117,10,W000000,11,9.6,20,61.3,WE20,WE200095,"1,969.00",
,03.09.2024,,558117,10,W000000,12,9.8,18,61.3,WE20,WE200095,"2,011.00",
,03.09.2024,,558117,10,W000000,13,10,16,61.3,WE20,WE200095,"1,975.00",
,03.09.2024,,558117,10,W000000,14,9.8,20,61.3,WE20,WE200095,"2,020.00",
,03.09.2024,,558117,10,W000000,15,9.4,18,61.3,WE20,WE200095,"1,972.00",
